Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
7,Exit short,2026-02-18 07:03,TP,1.18455,4000,4738.4,-0.08,0.00,0.28,0.06,0.00,-0.26,-0.01,16.26,3.25,0
7,Entry short,2026-02-18 07:03,B6 2x,1.1846,4000,4738.4,-0.08,0.00,0.28,0.06,0.00,-0.26,-0.01,16.26,3.25,0
8,Exit long,2026-02-19 13:06,TP,1.17597,1000,1176.47,-0.57,-0.05,0.07,0,0.00,-0.53,-0.05,15.69,3.14,1
8,Entry long,2026-02-19 13:03,B6 0.5x,1.17647,1000,1176.47,-0.57,-0.05,0.07,0,0.00,-0.53,-0.05,15.69,3.14,1
9,Exit long,2026-02-24 07:06,TP,1.1776,4000,4709.2,0.92,0.02,0.28,1.06,0.02,-0.5,-0.01,16.61,3.32,0
9,Entry long,2026-02-24 07:06,B7 2x,1.1773,4000,4709.2,0.92,0.02,0.28,1.06,0.02,-0.5,-0.01,16.61,3.32,0
10,Exit long,2026-02-26 14:30,TP,1.18099,4000,4722.8,0.88,0.02,0.28,1.02,0.02,-2.14,-0.05,17.49,3.50,16
10,Entry long,2026-02-26 13:42,B7 2x,1.1807,4000,4722.8,0.88,0.02,0.28,1.02,0.02,-2.14,-0.05,17.49,3.50,16
11,Exit short,2026-02-27 07:48,TP,1.18149,1000,1181.64,0.08,0.01,0.07,0.12,0.01,-0.14,-0.01,17.57,3.51,0
11,Entry short,2026-02-27 07:48,B6 0.5x,1.18164,1000,1181.64,0.08,0.01,0.07,0.12,0.01,-0.14,-0.01,17.57,3.51,0
12,Exit short,2026-03-04 20:36,TP,1.1643,2000,2327.92,-0.82,-0.04,0.14,0.37,0.02,-0.75,-0.03,16.75,3.35,13
12,Entry short,2026-03-04 19:57,B7 1x,1.16396,2000,2327.92,-0.82,-0.04,0.14,0.37,0.02,-0.75,-0.03,16.75,3.35,13
13,Exit short,2026-03-09 13:24,TP,1.15731,1000,1156.38,-1,-0.09,0.07,0.2,0.02,-0.96,-0.08,15.75,3.15,4
13,Entry short,2026-03-09 13:12,B6 0.5x,1.15638,1000,1156.38,-1,-0.09,0.07,0.2,0.02,-0.96,-0.08,15.75,3.15,4
14,Exit short,2026-03-09 19:21,TP,1.16168,5000,5803,-5.75,-0.10,0.35,0,0.00,-5.57,-0.10,10,2.00,0
14,Entry short,2026-03-09 19:21,B8 2.5x,1.1606,5000,5803,-5.75,-0.10,0.35,0,0.00,-5.57,-0.10,10,2.00,0
15,Exit short,2026-03-10 07:12,TP,1.16332,1000,1163.66,0.27,0.02,0.07,0.31,0.03,-0.55,-0.05,10.27,2.05,2
15,Entry short,2026-03-10 07:06,B6 0.5x,1.16366,1000,1163.66,0.27,0.02,0.07,0.31,0.03,-0.55,-0.05,10.27,2.05,2
16,Exit long,2026-03-10 13:36,TP,1.16401,2000,2327.24,0.64,0.03,0.14,0.71,0.03,-0.23,-0.01,10.91,2.18,0
16,Entry long,2026-03-10 13:36,B6 1x,1.16362,2000,2327.24,0.64,0.03,0.14,0.71,0.03,-0.23,-0.01,10.91,2.18,0
17,Exit short,2026-03-11 07:18,TP,1.16318,5000,5817.6,1.35,0.02,0.35,1.53,0.03,-0.28,0.00,12.26,2.45,0
