Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
35,Entry short,2026-06-29 02:00,GOLD SELL,1.13874,2000,2277.48,-2.23,-0.10,0.09,1.19,0.05,-8.73,-0.38,51.01,5.10,541
36,Exit short,2026-06-30 05:03,GOLD FLIP,1.13981,2000,2278.68,-1.03,-0.05,0.09,0.07,0.00,-7.53,-0.33,50.04,5.00,443
36,Entry short,2026-06-29 06:54,GOLD SELL,1.13934,2000,2278.68,-1.03,-0.05,0.09,0.07,0.00,-7.53,-0.33,50.04,5.00,443
37,Exit short,2026-06-30 05:03,GOLD FLIP,1.13981,2000,2285.26,5.55,0.24,0.09,5.79,0.25,-0.31,-0.01,55.66,5.57,180
37,Entry short,2026-06-29 20:03,GOLD SELL,1.14263,2000,2285.26,5.55,0.24,0.09,5.79,0.25,-0.31,-0.01,55.66,5.57,180
38,Exit long,2026-06-30 20:03,GOLD FLIP,1.14218,2000,2279.62,4.64,0.20,0.11,7.69,0.34,-3.13,-0.14,60.23,6.02,300
38,Entry long,2026-06-30 05:03,GOLD BUY,1.13981,2000,2279.62,4.64,0.20,0.11,7.69,0.34,-3.13,-0.14,60.23,6.02,300
39,Exit long,2026-06-30 20:03,GOLD FLIP,1.14218,2000,2277.62,6.64,0.29,0.11,9.69,0.43,-1.13,-0.05,66.93,6.69,280
39,Entry long,2026-06-30 06:03,GOLD BUY,1.13881,2000,2277.62,6.64,0.29,0.11,9.69,0.43,-1.13,-0.05,66.93,6.69,280
40,Exit short,2026-07-01 20:06,GOLD FLIP,1.13811,2000,2284.36,8,0.35,0.14,11.91,0.52,-1.21,-0.05,74.93,7.49,481
40,Entry short,2026-06-30 20:03,GOLD SELL,1.14218,2000,2284.36,8,0.35,0.14,11.91,0.52,-1.21,-0.05,74.93,7.49,481
41,Exit long,2026-07-02 06:09,GOLD FLIP,1.13876,2000,2276.22,1.16,0.05,0.14,1.45,0.06,-1.51,-0.07,76.09,7.61,201
