Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
177,Exit long,2026-06-05 06:36,GOLD FLIP,1.16184,2000,2319.94,3.66,0.16,0.08,9.01,0.39,-1.15,-0.05,283.62,28.36,691
177,Entry long,2026-06-03 20:03,GOLD BUY,1.15997,2000,2319.94,3.66,0.16,0.08,9.01,0.39,-1.15,-0.05,283.62,28.36,691
178,Exit long,2026-06-05 06:36,GOLD FLIP,1.16184,2000,2321.68,1.92,0.08,0.08,7.27,0.31,-2.03,-0.09,285.6,28.56,590
178,Entry long,2026-06-04 01:06,GOLD BUY,1.16084,2000,2321.68,1.92,0.08,0.08,7.27,0.31,-2.03,-0.09,285.6,28.56,590
179,Exit long,2026-06-05 06:36,GOLD FLIP,1.16184,2000,2323.1,0.5,0.02,0.08,0.51,0.02,-1.59,-0.07,286.17,28.62,211
179,Entry long,2026-06-04 20:03,GOLD BUY,1.16155,2000,2323.1,0.5,0.02,0.08,0.51,0.02,-1.59,-0.07,286.17,28.62,211
180,Exit short,2026-06-05 20:03,GOLD FLIP,1.15228,2000,2323.68,18.98,0.82,0.14,19.71,0.85,-5.25,-0.23,305.15,30.51,269
180,Entry short,2026-06-05 06:36,GOLD SELL,1.16184,2000,2323.68,18.98,0.82,0.14,19.71,0.85,-5.25,-0.23,305.15,30.51,269
181,Exit long,2026-06-08 01:03,GOLD FLIP,1.15228,2000,2304.56,-0.14,-0.01,0.14,0.83,0.04,-3.07,-0.13,305.01,30.50,99
181,Entry long,2026-06-05 20:03,GOLD BUY,1.15228,2000,2304.56,-0.14,-0.01,0.14,0.83,0.04,-3.07,-0.13,305.01,30.50,99
182,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2304.56,-3.36,-0.15,0.08,4.57,0.20,-11.11,-0.48,301.3,30.13,1439
182,Entry short,2026-06-08 01:03,GOLD SELL,1.15228,2000,2304.56,-3.36,-0.15,0.08,4.57,0.20,-11.11,-0.48,301.3,30.13,1439
183,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2306.92,-1,-0.04,0.08,6.93,0.30,-8.75,-0.38,300.37,30.04,1338
183,Entry short,2026-06-08 06:06,GOLD SELL,1.15346,2000,2306.92,-1,-0.04,0.08,6.93,0.30,-8.75,-0.38,300.37,30.04,1338
184,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2306.62,-1.3,-0.06,0.08,1.51,0.07,-9.05,-0.39,299.14,29.91,1059
184,Entry short,2026-06-08 20:03,GOLD SELL,1.15331,2000,2306.62,-1.3,-0.06,0.08,1.51,0.07,-9.05,-0.39,299.14,29.91,1059
185,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2309.78,1.86,0.08,0.08,4.67,0.20,-4.95,-0.21,301.06,30.11,579
185,Entry short,2026-06-09 20:03,GOLD SELL,1.15489,2000,2309.78,1.86,0.08,0.08,4.67,0.20,-4.95,-0.21,301.06,30.11,579
186,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2310.56,2.64,0.11,0.08,5.45,0.24,-4.17,-0.18,303.77,30.38,369
186,Entry short,2026-06-10 06:36,GOLD SELL,1.15528,2000,2310.56,2.64,0.11,0.08,5.45,0.24,-4.17,-0.18,303.77,30.38,369
187,Exit short,2026-06-11 01:03,GOLD FLIP,1.15392,2000,2309.44,1.52,0.07,0.08,4.33,0.19,-0.21,-0.01,305.36,30.54,100
187,Entry short,2026-06-10 20:03,GOLD SELL,1.15472,2000,2309.44,1.52,0.07,0.08,4.33,0.19,-0.21,-0.01,305.36,30.54,100
188,Exit long,2026-06-11 20:03,GOLD FLIP,1.15652,2000,2307.84,5.06,0.22,0.14,5.39,0.23,-7.35,-0.32,310.42,31.04,380
188,Entry long,2026-06-11 01:03,GOLD BUY,1.15392,2000,2307.84,5.06,0.22,0.14,5.39,0.23,-7.35,-0.32,310.42,31.04,380
189,Exit short,2026-06-12 06:51,GOLD FLIP,1.15605,2000,2313.04,0.85,0.04,0.09,0.89,0.04,-4.95,-0.21,311.13,31.11,216
189,Entry short,2026-06-11 20:03,GOLD SELL,1.15652,2000,2313.04,0.85,0.04,0.09,0.89,0.04,-4.95,-0.21,311.13,31.11,216
190,Exit short,2026-06-12 06:51,GOLD FLIP,1.15605,2000,2314.84,2.65,0.11,0.09,2.69,0.12,-3.15,-0.14,313.84,31.38,212
190,Entry short,2026-06-11 20:15,GOLD SELL,1.15742,2000,2314.84,2.65,0.11,0.09,2.69,0.12,-3.15,-0.14,313.84,31.38,212
191,Exit short,2026-06-12 06:51,GOLD FLIP,1.15605,2000,2315.12,2.93,0.13,0.09,2.97,0.13,-2.87,-0.12,316.84,31.68,210
191,Entry short,2026-06-11 20:21,GOLD SELL,1.15756,2000,2315.12,2.93,0.13,0.09,2.97,0.13,-2.87,-0.12,316.84,31.68,210
192,Exit long,2026-06-12 20:03,GOLD FLIP,1.1577,2000,2312.1,3.16,0.14,0.14,5.73,0.25,-0.75,-0.03,320,32.00,264
192,Entry long,2026-06-12 06:51,GOLD BUY,1.15605,2000,2312.1,3.16,0.14,0.14,5.73,0.25,-0.75,-0.03,320,32.00,264
193,Exit short,2026-06-15 20:06,GOLD FLIP,1.15921,2000,2315.4,-3.11,-0.13,0.09,2.01,0.09,-9.09,-0.39,316.75,31.67,480
